HREF	Assembly	Biosample	Description	BioRep	TechRep	Lab	Accession	Experiment
/files/ENCFF897RTY/@@download/ENCFF897RTY.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	1	1_11	Erez Aiden, Baylor	ENCFF897RTY	ENCSR410MDC
/files/ENCFF306MWH/@@download/ENCFF306MWH.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	1	1_13	Erez Aiden, Baylor	ENCFF306MWH	ENCSR410MDC
/files/ENCFF039YUJ/@@download/ENCFF039YUJ.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	1	1_18	Erez Aiden, Baylor	ENCFF039YUJ	ENCSR410MDC
/files/ENCFF468QIN/@@download/ENCFF468QIN.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	1	1_12	Erez Aiden, Baylor	ENCFF468QIN	ENCSR410MDC
/files/ENCFF364WXU/@@download/ENCFF364WXU.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	2	2_1	Erez Aiden, Baylor	ENCFF364WXU	ENCSR410MDC
/files/ENCFF373MSH/@@download/ENCFF373MSH.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	3	3_1	Erez Aiden, Baylor	ENCFF373MSH	ENCSR410MDC
/files/ENCFF959EGQ/@@download/ENCFF959EGQ.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	4	4_1	Erez Aiden, Baylor	ENCFF959EGQ	ENCSR410MDC
/files/ENCFF624XMK/@@download/ENCFF624XMK.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	5	5_1	Erez Aiden, Baylor	ENCFF624XMK	ENCSR410MDC
/files/ENCFF445OKS/@@download/ENCFF445OKS.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	5	5_2	Erez Aiden, Baylor	ENCFF445OKS	ENCSR410MDC
/files/ENCFF239QDV/@@download/ENCFF239QDV.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	6	6_1	Erez Aiden, Baylor	ENCFF239QDV	ENCSR410MDC
/files/ENCFF645AVM/@@download/ENCFF645AVM.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	7	7_1	Erez Aiden, Baylor	ENCFF645AVM	ENCSR410MDC
/files/ENCFF494IPI/@@download/ENCFF494IPI.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	9	9_1	Erez Aiden, Baylor	ENCFF494IPI	ENCSR410MDC
/files/ENCFF753IXE/@@download/ENCFF753IXE.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	9	9_2	Erez Aiden, Baylor	ENCFF753IXE	ENCSR410MDC
/files/ENCFF731GXX/@@download/ENCFF731GXX.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	7	7_2	Erez Aiden, Baylor	ENCFF731GXX	ENCSR410MDC
/files/ENCFF369CAQ/@@download/ENCFF369CAQ.hic	hg19	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	8	8_1	Erez Aiden, Baylor	ENCFF369CAQ	ENCSR410MDC
/files/ENCFF053VBX/@@download/ENCFF053VBX.hic	GRCh38	Homo sapiens GM12878	MboI primary+replicate GM12878 experiment	1 2 3 4 5 6 7 8 9	1_1 1_10 1_11 1_12 1_13 1_14 1_15 1_16 1_17 1_18 1_2 1_3 1_4 1_5 1_6 1_7 1_8 1_9 2_1 3_1 4_1 5_1 5_2 6_1 7_1 7_2 8_1 9_1 9_2	Erez Aiden, Baylor	ENCFF053VBX	ENCSR410MDC
/files/ENCFF606XNW/@@download/ENCFF606XNW.hic	hg19	Homo sapiens endothelial cell of umbilical vein	HUVEC dilution Hi-C experiment	1	1_1	Erez Aiden, Baylor	ENCFF606XNW	ENCSR008UIB
/files/ENCFF453DBX/@@download/ENCFF453DBX.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	2	2_2	Erez Aiden, Baylor	ENCFF453DBX	ENCSR637QCS
/files/ENCFF590VOM/@@download/ENCFF590VOM.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF590VOM	ENCSR637QCS
/files/ENCFF246DOF/@@download/ENCFF246DOF.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1	1_2	Erez Aiden, Baylor	ENCFF246DOF	ENCSR637QCS
/files/ENCFF125FXX/@@download/ENCFF125FXX.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1	1_3	Erez Aiden, Baylor	ENCFF125FXX	ENCSR637QCS
/files/ENCFF241RAY/@@download/ENCFF241RAY.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	2	2_1	Erez Aiden, Baylor	ENCFF241RAY	ENCSR637QCS
/files/ENCFF415XWQ/@@download/ENCFF415XWQ.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	2	2_3	Erez Aiden, Baylor	ENCFF415XWQ	ENCSR637QCS
/files/ENCFF374EBH/@@download/ENCFF374EBH.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	2	2_4	Erez Aiden, Baylor	ENCFF374EBH	ENCSR637QCS
/files/ENCFF263YWR/@@download/ENCFF263YWR.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	3	3_1	Erez Aiden, Baylor	ENCFF263YWR	ENCSR637QCS
/files/ENCFF280CGS/@@download/ENCFF280CGS.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	4	4_1	Erez Aiden, Baylor	ENCFF280CGS	ENCSR637QCS
/files/ENCFF553ZNS/@@download/ENCFF553ZNS.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	4	4_2	Erez Aiden, Baylor	ENCFF553ZNS	ENCSR637QCS
/files/ENCFF451VOI/@@download/ENCFF451VOI.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	4	4_3	Erez Aiden, Baylor	ENCFF451VOI	ENCSR637QCS
/files/ENCFF420MQO/@@download/ENCFF420MQO.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1 2	1_1 1_2 1_3 2_1 2_2 2_3 2_4	Erez Aiden, Baylor	ENCFF420MQO	ENCSR637QCS
/files/ENCFF301BWY/@@download/ENCFF301BWY.hic	GRCh38	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1 2 3 4	1_1 1_2 1_3 2_1 2_2 2_3 2_4 3_1 4_1 4_2 4_3	Erez Aiden, Baylor	ENCFF301BWY	ENCSR637QCS
/files/ENCFF121YPY/@@download/ENCFF121YPY.hic	GRCh38	Homo sapiens A549	Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	1	1_1 1_2	Tim Reddy, Duke	ENCFF121YPY	ENCSR662QKG
/files/ENCFF675SJE/@@download/ENCFF675SJE.hic	GRCh38	Homo sapiens A549	Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	3	3_1 3_2	Tim Reddy, Duke	ENCFF675SJE	ENCSR662QKG
/files/ENCFF876LAW/@@download/ENCFF876LAW.hic	GRCh38	Homo sapiens A549	Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	2	2_1 2_2	Tim Reddy, Duke	ENCFF876LAW	ENCSR662QKG
/files/ENCFF740KVX/@@download/ENCFF740KVX.hic	GRCh38	Homo sapiens A549	Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	4	4_1 4_2	Tim Reddy, Duke	ENCFF740KVX	ENCSR662QKG
/files/ENCFF089KBG/@@download/ENCFF089KBG.hic	GRCh38	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	1	1_1 1_2	Tim Reddy, Duke	ENCFF089KBG	ENCSR393LOP
/files/ENCFF939ARM/@@download/ENCFF939ARM.hic	GRCh38	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	2	2_1 2_2	Tim Reddy, Duke	ENCFF939ARM	ENCSR393LOP
/files/ENCFF401ZAN/@@download/ENCFF401ZAN.hic	GRCh38	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	3	3_1 3_2	Tim Reddy, Duke	ENCFF401ZAN	ENCSR393LOP
/files/ENCFF378RZT/@@download/ENCFF378RZT.hic	GRCh38	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	4	4_1 4_2	Tim Reddy, Duke	ENCFF378RZT	ENCSR393LOP
/files/ENCFF304AVD/@@download/ENCFF304AVD.hic	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	in situ MboI CH12.LX	1 2 3	1_1 1_10 1_11 1_2 1_3 1_4 1_5 1_6 1_7 1_8 1_9 2_1 2_2 3_1 3_2	Erez Aiden, Baylor	ENCFF304AVD	ENCSR005UON
/files/ENCFF702LAP/@@download/ENCFF702LAP.hic	mm9	Mus musculus strain C57BL6/129s4 mouse embryonic stem cell	in situ MboI Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF702LAP	ENCSR028GRK
/files/ENCFF339PON/@@download/ENCFF339PON.hic	mm9	Mus musculus strain C57BL6/129s4 mouse embryonic stem cell	in situ MboI Hi-C	1	1_1 1_2 1_3 1_4	Erez Aiden, Baylor	ENCFF339PON	ENCSR028GRK
/files/ENCFF741QPR/@@download/ENCFF741QPR.hic	mm9	Mus musculus strain C57BL6/129s4 mouse embryonic stem cell	in situ MboI Hi-C	1	1_3	Erez Aiden, Baylor	ENCFF741QPR	ENCSR028GRK
/files/ENCFF103ANX/@@download/ENCFF103ANX.hic	mm9	Mus musculus strain C57BL6/129s4 mouse embryonic stem cell	in situ MboI Hi-C	1	1_4	Erez Aiden, Baylor	ENCFF103ANX	ENCSR028GRK
/files/ENCFF395SBC/@@download/ENCFF395SBC.hic	mm9	Mus musculus strain C57BL6/129s4 mouse embryonic stem cell	in situ MboI Hi-C	1	1_2	Erez Aiden, Baylor	ENCFF395SBC	ENCSR028GRK
/files/ENCFF671SOE/@@download/ENCFF671SOE.hic	mm9	Mus musculus strain C57BL/6J mature B cell treated with 50 Î¼g/mL lipopolysaccharide for 24 hours, 5 ng/mL Interleukin-4 for 24 hours, 500 ng/mL anti-CD180 for 24 hours	in situ MboI Hi-C	1 2 3	1_1 1_2 1_3 2_1 2_2 2_3 2_4 3_1	Erez Aiden, Baylor	ENCFF671SOE	ENCSR870DKF
/files/ENCFF047SDP/@@download/ENCFF047SDP.hic	mm9	Mus musculus strain C57BL/6J mature B cell treated with 50 Î¼g/mL lipopolysaccharide for 30 hours, 5 ng/mL Interleukin-4 for 30 hours, 500 ng/mL anti-CD180 for 30 hours, 760.5 Î¼g/mL hydroxyurea for 4 hours	in situ MboI Hi-C	1 2	1_1 1_2 1_3 2_1 2_2 2_3	Erez Aiden, Baylor	ENCFF047SDP	ENCSR613GYI
/files/ENCFF289WNN/@@download/ENCFF289WNN.hic	mm9	Mus musculus strain 129/Ola mouse embryonic stem cell	in situ MboI Hi-C	1 2 3	1_1 2_1 2_2 2_3 2_4 2_5 2_6 3_1 3_2 3_3 3_4 3_5 3_6	Erez Aiden, Baylor	ENCFF289WNN	ENCSR298WSI
/files/ENCFF871ZDJ/@@download/ENCFF871ZDJ.hic	hg19	Homo sapiens THP-1 treated with 35.8 ng/mL phorbol 13-acetate 12-myristate for 72 hours	in situ MboI Hi-C	1 2	1_1 1_2 1_3 2_1 2_2 2_3	Michael Snyder, Stanford	ENCFF871ZDJ	ENCSR669GJD
/files/ENCFF020DPP/@@download/ENCFF020DPP.hic	GRCh38	Homo sapiens HepG2	HiC experiment done on HepG2	1 2	1_1 2_1	Job Dekker, UMass	ENCFF020DPP	ENCSR194SRI
/files/ENCFF532LFI/@@download/ENCFF532LFI.hic	hg19	Homo sapiens hTERT RPE-1 genetically modified (deletion) using TALEN	in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	1	1_1	Erez Aiden, Baylor	ENCFF532LFI	ENCSR624AJS
/files/ENCFF381EAU/@@download/ENCFF381EAU.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_3	Erez Aiden, Baylor	ENCFF381EAU	ENCSR428VHF
/files/ENCFF976FEY/@@download/ENCFF976FEY.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_4	Erez Aiden, Baylor	ENCFF976FEY	ENCSR428VHF
/files/ENCFF485LVS/@@download/ENCFF485LVS.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_2	Erez Aiden, Baylor	ENCFF485LVS	ENCSR428VHF
/files/ENCFF143VJV/@@download/ENCFF143VJV.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF143VJV	ENCSR428VHF
/files/ENCFF588NHX/@@download/ENCFF588NHX.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_1 1_2 1_3 1_4	Erez Aiden, Baylor	ENCFF588NHX	ENCSR428VHF
/files/ENCFF584LEP/@@download/ENCFF584LEP.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 180 minutes after the sample was treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1 2	1_1 1_2 2_1 2_2	Erez Aiden, Baylor	ENCFF584LEP	ENCSR152HRS
/files/ENCFF768UBD/@@download/ENCFF768UBD.hic	hg19	Homo sapiens GM23248	in situ MboI Hi-C	1 2	1_1 1_2 2_1 2_2 2_3 2_4 2_5 2_6 2_7 2_8	Erez Aiden, Baylor	ENCFF768UBD	ENCSR220MNC
/files/ENCFF965PEE/@@download/ENCFF965PEE.hic	GRCh38	Homo sapiens GM23248	in situ MboI Hi-C	1 2	1_1 1_2 2_1 2_2 2_3 2_4 2_5 2_6 2_7 2_8	Erez Aiden, Baylor	ENCFF965PEE	ENCSR220MNC
/files/ENCFF429MOR/@@download/ENCFF429MOR.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours, 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF429MOR	ENCSR859UVV
/files/ENCFF061NXV/@@download/ENCFF061NXV.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours, 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_2	Erez Aiden, Baylor	ENCFF061NXV	ENCSR859UVV
/files/ENCFF434PYS/@@download/ENCFF434PYS.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours, 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_3	Erez Aiden, Baylor	ENCFF434PYS	ENCSR859UVV
/files/ENCFF704HHX/@@download/ENCFF704HHX.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours, 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_4	Erez Aiden, Baylor	ENCFF704HHX	ENCSR859UVV
/files/ENCFF349DPM/@@download/ENCFF349DPM.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours, 484.5 Î¼g/mL thymidine for 12 hours, 79.3 Î¼g/mL mimosine for 12 hours	in situ MboI Hi-C	1	1_1 1_2 1_3 1_4	Erez Aiden, Baylor	ENCFF349DPM	ENCSR859UVV
/files/ENCFF399IHE/@@download/ENCFF399IHE.hic	hg19	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens RAD21 40 minutes after the sample was treated with 87.6 Î¼g/mL indole-3-acetic acid for 6 hours	in situ MboI Hi-C	1 2	1_1 1_2 2_1 2_2	Erez Aiden, Baylor	ENCFF399IHE	ENCSR179GCO
/files/ENCFF666USK/@@download/ENCFF666USK.hic	mm9	Mus musculus strain C57BL/6J mature B cell treated with 50 Î¼g/mL lipopolysaccharide for 72 hours, 5 ng/mL Interleukin-4 for 72 hours, 500 ng/mL anti-CD180 for 72 hours	in situ MboI Hi-C	1 2 3 4	1_1 1_2 1_3 1_4 1_5 2_1 2_2 2_3 3_1 3_2 3_3 3_4 3_5 3_6 4_1 4_10 4_11 4_12 4_2 4_3 4_4 4_5 4_6 4_7 4_8 4_9	Erez Aiden, Baylor	ENCFF666USK	ENCSR471ZWB
/files/ENCFF355OWW/@@download/ENCFF355OWW.hic	hg19	Homo sapiens GM12878	GM12878 dilution Hi-C experiment NcoI	1	1_1	Erez Aiden, Baylor	ENCFF355OWW	ENCSR423SYP
/files/ENCFF177TYX/@@download/ENCFF177TYX.hic	hg19	Homo sapiens HL-60/S4	HL-60/S4 Undifferentiated MboI in situ Hi-C	1 2	1_1 1_2 2_1 2_2	Erez Aiden, Baylor	ENCFF177TYX	ENCSR683EDC
/files/ENCFF542BHD/@@download/ENCFF542BHD.hic	GRCh38	Homo sapiens HL-60/S4	HL-60/S4 Undifferentiated MboI in situ Hi-C	1 2	1_1 1_2 2_1 2_2	Erez Aiden, Baylor	ENCFF542BHD	ENCSR683EDC
/files/ENCFF964RSP/@@download/ENCFF964RSP.hic	hg19	Homo sapiens Ramos	in situ MboI Hi-C  of Ramos cells	1	1_1 1_2 1_3 1_4	Erez Aiden, Baylor	ENCFF964RSP	ENCSR022TPX
/files/ENCFF234MZQ/@@download/ENCFF234MZQ.hic	GRCh38	Homo sapiens Ramos	in situ MboI Hi-C  of Ramos cells	1	1_1 1_2 1_3 1_4	Erez Aiden, Baylor	ENCFF234MZQ	ENCSR022TPX
